time_index,price,natural_inflow,reservoir_volume,battery_soc,turbine_flow,spill_flow,pump_flow,battery_charge_power,battery_discharge_power,next_reservoir_volume,next_battery_soc,net_power,reward,cumulative_profit
0,45,8,120,20,0,0,0,0,0,128,20,0,0,0
1,42,8,128,20,0,0,0,0,0,136,20,0,0,0
2,38,7,136,20,0,0,0,15,0,143,34.25,-15,-630,-630
3,35,7,143,34.25,0,0,0,15,0,150,48.5,-15,-585,-1215
4,48,6,150,48.5,10,0,0,0,0,146,48.5,3.6,169.2,-1045.8
5,72,5,146,48.5,30,0,0,0,0,121,48.5,10.8,766.8,-279
6,95,4,121,48.5,30,0,0,0,15,95,32.7105,25.8,2380.2,2101.2
7,110,4,95,32.7105,30,0,0,0,15,69,16.9211,25.8,2767.2,4868.4
8,88,5,69,16.9211,30,0,0,0,15,44,1.13158,25.8,2199.6,7068
9,60,6,44,1.13158,30,0,0,0,0,20,1.13158,10.8,637.2,7705.2
10,50,7,20,1.13158,20,0,0,0,0,7,1.13158,7.2,352.8,8058
11,40,8,7,1.13158,10,0,0,0,0,5,1.13158,3.6,140.4,8198.4
