key,value
scenario_name,sample_day
time_step_hours,1
reservoir_min_volume,0
reservoir_max_volume,200
battery_min_soc,0
battery_max_soc,50
turbine_max_flow,30
pump_max_flow,20
spill_max_flow,30
battery_max_charge_power,15
battery_max_discharge_power,15
turbine_efficiency,0.9
pump_efficiency,0.85
battery_charge_efficiency,0.95
battery_discharge_efficiency,0.95
water_to_power_factor,0.4
battery_degradation_cost_per_mwh,3
operating_cost_per_mwh,1
infeasibility_penalty,1000000
initial_reservoir_volume,120
initial_battery_soc,20
reservoir_volume_grid_points,21
battery_soc_grid_points,11
turbine_flow_steps,4
spill_flow_steps,2
pump_flow_steps,3
battery_charge_steps,3
battery_discharge_steps,3
discount_factor,1
