key,value
scenario_name,multistep_inflow_pulse
time_step_hours,1
reservoir_min_volume,0
reservoir_max_volume,100
turbine_max_flow,25
pump_max_flow,0
spill_max_flow,50
turbine_efficiency,0.9
pump_efficiency,0.85
operating_cost_per_mwh,0
initial_reservoir_volume,0
terminal_reservoir_min_volume,0
terminal_reservoir_max_volume,0
terminal_target_reservoir_volume,0
terminal_reservoir_target_penalty,0
reservoir_volume_grid_points,5
turbine_flow_steps,2
spill_flow_steps,3
pump_flow_steps,1
discount_factor,1
