key,value
scenario_name,sample_day
series_start_utc,2026-12-31T23:00:00Z
time_step_hours,1
reservoir_min_volume,0
reservoir_max_volume,200
turbine_max_flow,30
pump_max_flow,20
spill_max_flow,30
turbine_efficiency,0.9
pump_efficiency,0.85
water_to_power_factor,0.4
operating_cost_per_mwh,1
initial_reservoir_volume,120
terminal_reservoir_min_volume,0
terminal_reservoir_max_volume,200
terminal_target_reservoir_volume,50
terminal_reservoir_target_penalty,0
reservoir_volume_grid_points,21
turbine_flow_steps,4
spill_flow_steps,2
pump_flow_steps,3
discount_factor,1
