key,value
scenario_name,synthetic_year_high_operating_cost
time_step_hours,1
reservoir_min_volume,0
reservoir_max_volume,200
turbine_max_flow,16
pump_max_flow,12
spill_max_flow,20
turbine_efficiency,0.9
pump_efficiency,0.85
operating_cost_per_mwh,75
initial_reservoir_volume,100
terminal_reservoir_min_volume,75
terminal_reservoir_max_volume,125
terminal_target_reservoir_volume,100
terminal_reservoir_target_penalty,125
reservoir_volume_grid_points,9
turbine_flow_steps,3
spill_flow_steps,2
pump_flow_steps,3
discount_factor,1
